renter7	renter	When you rent from us, there are no broker fees or agent commissions. You only pay for your credit check The security deposit is 1.5x the monthly rent. To move in you will need the first month's rent + 1.5x security deposit. The application is free, once you're conditionally approved we ask for a $30 charge for every adult to pay for your credit check. We usually allow pets with an upfront one time fee of $400/pet, please discuss our pet policy with one of our staff members as it can be different based on the kind of pet you own. We don?t have a fixed minimum credit score. If you believe you can be a great tenant but you are unsure about your credit score, please talk to one of our staff members. We take section 8 for some of our units, ask a staff member for a specific apartment.	do you accept section 8?	706	We take section 8 for some of our units
312chapel12	312chapel	Rent is $1,950.00 per month Apartment has 3 bedrooms and 2 bathrooms, hardwood floors throughout. Apartment is located in the second floor of 312 Chapel Ave. This apartment is 1600 square feet, much larger than comparable units because it is located in an oversized lot. There is no brokers fee or brokers comittion. To apply for free go to ASDProp.com , applicaiton is free, you only pay $30 per applicant for the credit check. Pets are allowed on a case by case basis, upfront one time pet fee of $400 Unit has central A/C and in-unit washer/dryer hookups Garage parking is available for an additional $150 per month.	is there parking?	558	Garage parking is available for an additional $150 per month
312chapel2	312chapel	Rent is $1,950.00 per month Apartment has 3 bedrooms and 2 bathrooms, hardwood floors throughout. Apartment is located in the second floor of 312 Chapel Ave. This apartment is 1600 square feet, much larger than comparable units because it is located in an oversized lot. There is no brokers fee or brokers comittion. To apply for free go to ASDProp.com , applicaiton is free, you only pay $30 per applicant for the credit check. Pets are allowed on a case by case basis, upfront one time pet fee of $400 Unit has central A/C and in-unit washer/dryer hookups Garage parking is available for an additional $150 per month.	does the apartment come with washer and dryer?	529	in-unit washer/dryer hookups
312chapel9	312chapel	Rent is $1,950.00 per month Apartment has 3 bedrooms and 2 bathrooms, hardwood floors throughout. Apartment is located in the second floor of 312 Chapel Ave. This apartment is 1600 square feet, much larger than comparable units because it is located in an oversized lot. There is no brokers fee or brokers comittion. To apply for free go to ASDProp.com , applicaiton is free, you only pay $30 per applicant for the credit check. Pets are allowed on a case by case basis, upfront one time pet fee of $400 Unit has central A/C and in-unit washer/dryer hookups Garage parking is available for an additional $150 per month.	is there a washer/dryer?	529	in-unit washer/dryer hookups
312chapel10	312chapel	Rent is $1,950.00 per month Apartment has 3 bedrooms and 2 bathrooms, hardwood floors throughout. Apartment is located in the second floor of 312 Chapel Ave. This apartment is 1600 square feet, much larger than comparable units because it is located in an oversized lot. There is no brokers fee or brokers comittion. To apply for free go to ASDProp.com , applicaiton is free, you only pay $30 per applicant for the credit check. Pets are allowed on a case by case basis, upfront one time pet fee of $400 Unit has central A/C and in-unit washer/dryer hookups Garage parking is available for an additional $150 per month.	is there a washing machine?	529	in-unit washer/dryer hookups
312chapel21	312chapel	Rent is $1,950.00 per month Apartment has 3 bedrooms and 2 bathrooms, hardwood floors throughout. Apartment is located in the second floor of 312 Chapel Ave. This apartment is 1600 square feet, much larger than comparable units because it is located in an oversized lot. There is no brokers fee or brokers comittion. To apply for free go to ASDProp.com , applicaiton is free, you only pay $30 per applicant for the credit check. Pets are allowed on a case by case basis, upfront one time pet fee of $400 Unit has central A/C and in-unit washer/dryer hookups Garage parking is available for an additional $150 per month.	does it have AC?	513	central A/C
26rose16	26rose	Beautiful Newly Renovated 3 Bedroom 1 Bath Apartment in quiet , beautiful neighborhood!! * Large Eat-in Kitchen with New Stainless Steel Appliances, Bursting with Natural Sunlight, In terms of storage, this apartment features lots of closet space. Ideal location close to Shopping Centers. Easy access to NYC through NJ Transit Bus Transportation, and close to Danforth Ave Light Rail Station. No Broker fee! Water is included in the rent. Tenant pays for electric and gas.	who pays electric?	440	Tenant pays for electric and gas
368armstrong7	368armstrong	This is a Brand New construction. Beautifully designed with plenty of light. In unit washer and dryer, 2 balcony to enjoy your own outdoor space. This unit entrance is located on the 2nd floor. Master Room with bathroom: Fits king size bed All the other rooms can fit a queen size bed. 2 Balconies Open Kitchen with HUGE island Washer and Dryer in unit. Apartment features Central AC. Reach out for a Private showing! 1 Driveway parking included	is it easy to find street parking?	418	1 Driveway parking included
368armstrong12	368armstrong	This is a Brand New construction. Beautifully designed with plenty of light. In unit washer and dryer, 2 balcony to enjoy your own outdoor space. This unit entrance is located on the 2nd floor. Master Room with bathroom: Fits king size bed All the other rooms can fit a queen size bed. 2 Balconies Open Kitchen with HUGE island Washer and Dryer in unit. Apartment features Central AC. Reach out for a Private showing! 1 Driveway parking included	is there parking?	418	1 Driveway parking included
26rose17	26rose	Beautiful Newly Renovated 3 Bedroom 1 Bath Apartment in quiet , beautiful neighborhood!! * Large Eat-in Kitchen with New Stainless Steel Appliances, Bursting with Natural Sunlight, In terms of storage, this apartment features lots of closet space. Ideal location close to Shopping Centers. Easy access to NYC through NJ Transit Bus Transportation, and close to Danforth Ave Light Rail Station. No Broker fee! Water is included in the rent. Tenant pays for electric and gas.	who pays for water?	409	Water is included in the rent
26rose0	26rose	Beautiful Newly Renovated 3 Bedroom 1 Bath Apartment in quiet , beautiful neighborhood!! * Large Eat-in Kitchen with New Stainless Steel Appliances, Bursting with Natural Sunlight, In terms of storage, this apartment features lots of closet space. Ideal location close to Shopping Centers. Easy access to NYC through NJ Transit Bus Transportation, and close to Danforth Ave Light Rail Station. No Broker fee! Water is included in the rent. Tenant pays for electric and gas.	are utilities included?	409	Water is included in the rent
renter0	renter	When you rent from us, there are no broker fees or agent commissions. You only pay for your credit check The security deposit is 1.5x the monthly rent. To move in you will need the first month's rent + 1.5x security deposit. The application is free, once you're conditionally approved we ask for a $30 charge for every adult to pay for your credit check. We usually allow pets with an upfront one time fee of $400/pet, please discuss our pet policy with one of our staff members as it can be different based on the kind of pet you own. We don?t have a fixed minimum credit score. If you believe you can be a great tenant but you are unsure about your credit score, please talk to one of our staff members. We take section 8 for some of our units, ask a staff member for a specific apartment.	can I bring my dog?	355	We usually allow pets with an upfront one time fee of $400/pet
